Country Name,Country Code,Series Name,Series Code,2010 [YR2010],2015 [YR2015],2020 [YR2020]
Libya,LBY,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,12230,8380,7740
Liechtenstein,LIE,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,..,..,..
Lithuania,LTU,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,12570,15190,19620
Luxembourg,LUX,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,77640,73530,81110
"Macao SAR, China",MAC,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,45260,62090,46730
Madagascar,MDG,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,470,490,470
Malawi,MWI,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,450,350,590
Malaysia,MYS,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,8260,10680,10570
Maldives,MDV,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,5960,7650,6450
Mali,MLI,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,700,800,830
Malta,MLT,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,21370,25230,26410
Marshall Islands,MHL,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,3550,4290,4940
Mauritania,MRT,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1500,1640,1670
Mauritius,MUS,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,8080,10700,10230
Mexico,MEX,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,9040,10160,8530
"Micronesia, Fed. Sts.",FSM,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,2900,3490,3960
Moldova,MDA,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,2380,3300,4520
Monaco,MCO,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,..,..,..
Mongolia,MNG,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,2000,3800,3740
Montenegro,MNE,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,6920,7260,7910
Morocco,MAR,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,2930,3020,3020
Mozambique,MOZ,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,520,640,470
Myanmar,MMR,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,620,1170,1340
Namibia,NAM,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,4500,5310,4550
Nauru,NRU,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,..,13690,17330
Nepal,NPL,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,540,890,1190
Netherlands,NLD,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,54070,49850,51070
New Caledonia,NCL,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,..,..,..
New Zealand,NZL,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,29680,40660,41480
Nicaragua,NIC,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1460,1890,1770
Niger,NER,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,520,560,550
Nigeria,NGA,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,2150,2820,2000
North Macedonia,MKD,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,4740,5130,5690
Northern Mariana Islands,MNP,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,..,..,..
